,Index,Question,Options,Correct Answer,Pattern
0,1,Are the butterfly's wings closer to being open or closed?,(a) Open (b) Closed,(a),State and Condition
1,2,Are the butterfly's wings closer to being open or closed?,(a) Open (b) Closed,(b),State and Condition
2,3,Is the flame of the match more round or thin?,(a) Round (b) Thin,(a),Structural and Physical Characteristics
3,4,Is the flame of the match more round or thin?,(a) Round (b) Thin,(b),Structural and Physical Characteristics
4,5,Is the dog facing left or right from the camera's perspective?,(a) Left (b) Right,(a),Viewpoint and Perspective
5,6,Is the dog facing left or right from the camera's perspective?,(a) Left (b) Right,(b),Viewpoint and Perspective
6,7,Is the school bus driving towards or away from the camera?,(a) Towards the camera (b) Away from the camera,(a),Viewpoint and Perspective
7,8,Is the school bus driving towards or away from the camera?,(a) Towards the camera (b) Away from the camera,(b),Viewpoint and Perspective
8,9,"Can you see the key ""Z"" in the image?",(a) Yes (b) No,(a),Text
9,10,"Can you see the key ""Z"" in the image?",(a) Yes (b) No,(b),Text
10,11,Has the peacock opened its tail?,(a) Yes (b) No,(a),State and Condition
11,12,Has the peacock opened its tail?,(a) Yes (b) No,(b),State and Condition
12,13,Is the image more likely of a single ear of corn or multiple ears,(a) Single (b) Multiple,(a),Quantity and Count
13,14,Is the image more likely of a single ear of corn or multiple ears,(a) Single (b) Multiple,(b),Quantity and Count
14,15,Is there a shadow on the flower?,(a) Yes (b) No,(a),Presence of Specific Features
15,16,Is there a shadow on the flower?,(a) Yes (b) No,(b),Presence of Specific Features
16,17,Is the front of the school bus protruding?,(a) Yes (b) No,(a),Structural and Physical Characteristics
17,18,Is the front of the school bus protruding?,(a) Yes (b) No,(b),Structural and Physical Characteristics
18,19,Can you see the dorsal fin of the animal?,(a) Yes (b) No,(a),Presence of Specific Features
19,20,Can you see the dorsal fin of the animal?,(a) Yes (b) No,(b),Presence of Specific Features
20,21,Is the duck's entire beak visible in the picture?,(a) Yes (b) No,(a),Presence of Specific Features
21,22,Is the duck's entire beak visible in the picture?,(a) Yes (b) No,(b),Presence of Specific Features
22,23,From which angle is this image taken?,(a) Front (b) Side,(a),Viewpoint and Perspective
23,24,From which angle is this image taken?,(a) Front (b) Side,(b),Viewpoint and Perspective
24,25,What color is the chicken's body?,(a) Black (b) Red,(a),Color and Appearance
25,26,What color is the chicken's body?,(a) Black (b) Red,(b),Color and Appearance
26,27,Is the peacock's head visible in the image?,(a) Yes (b) No,(a),Presence of Specific Features
27,28,Is the peacock's head visible in the image?,(a) Yes (b) No,(b),Presence of Specific Features
28,29,"Based on the image, is the following statement correct: We cannot see the window on the school bus?",(a) Correct (b) Incorrect,(a),Presence of Specific Features
29,30,"Based on the image, is the following statement correct: We cannot see the window on the school bus?",(a) Correct (b) Incorrect,(b),Presence of Specific Features
30,31,Is the wind blowing the flag?,(a) Yes (b) No,(a),State and Condition
31,32,Is the wind blowing the flag?,(a) Yes (b) No,(b),State and Condition
32,33,Is the butterfly's abdomen visible in the image?,(a) Yes (b) No,(a),Presence of Specific Features
33,34,Is the butterfly's abdomen visible in the image?,(a) Yes (b) No,(b),Presence of Specific Features
34,35,Do the vegetables have spikes?,(a) Yes (b) No,(a),Presence of Specific Features
35,36,Do the vegetables have spikes?,(a) Yes (b) No,(b),Presence of Specific Features
36,37,What color are the flowers in the background?,(a) Pink (b) Violet,(a),Color and Appearance
37,38,What color are the flowers in the background?,(a) Pink (b) Violet,(b),Color and Appearance
38,39,Is the duck floating?,(a) Yes (b) No,(a),Positional and Relational Context
39,40,Is the duck floating?,(a) Yes (b) No,(b),Positional and Relational Context
40,41,"Based on the image, is the following statement correct: The spider has 8 legs?",(a) Yes (b) No,(a),Quantity and Count
41,42,"Based on the image, is the following statement correct: The spider has 8 legs?",(a) Yes (b) No,(b),Quantity and Count
42,43,Are the wheels of the school bus visible in the image?,(a) Yes (b) No,(a),Presence of Specific Features
43,44,Are the wheels of the school bus visible in the image?,(a) Yes (b) No,(b),Presence of Specific Features
44,45,Is the shark's belly visible in this image?,(a) Yes (b) No,(a),Presence of Specific Features
45,46,Is the shark's belly visible in this image?,(a) Yes (b) No,(b),Presence of Specific Features
46,47,How many spots are on the animal in the image?,(a) 5 (b) 6,(a),Quantity and Count
47,48,How many spots are on the animal in the image?,(a) 5 (b) 6,(b),Quantity and Count
48,49,Are the arrow keys visible in the image?,(a) Yes (b) No,(a),Presence of Specific Features
49,50,Are the arrow keys visible in the image?,(a) Yes (b) No,(b),Presence of Specific Features
50,51,Is the elephant's trunk curled in the picture?,(a) Yes (b) No,(a),State and Condition
51,52,Is the elephant's trunk curled in the picture?,(a) Yes (b) No,(b),State and Condition
52,53,Is the number of pills in the image in the range of countable?,(a) Yes (b) No,(a),Quantity and Count
53,54,Is the number of pills in the image in the range of countable?,(a) Yes (b) No,(b),Quantity and Count
54,55,Can you see stems of bananas in the image?,(a) Yes (b) No,(a),Presence of Specific Features
55,56,Can you see stems of bananas in the image?,(a) Yes (b) No,(b),Presence of Specific Features
56,57,Is the crocodile submerged in the water?,(a) Yes (b) No,(a),State and Condition
57,58,Is the crocodile submerged in the water?,(a) Yes (b) No,(b),State and Condition
58,59,Is the lock locked to the chain-linked fence?,(a) Yes (b) No,(a),State and Condition
59,60,Is the lock locked to the chain-linked fence?,(a) Yes (b) No,(b),State and Condition
60,61,"Can you see letter ""J"" in the image?",(a) Yes (b) No,(a),Presence of Specific Features
61,62,"Can you see letter ""J"" in the image?",(a) Yes (b) No,(b),Presence of Specific Features
62,63,"Is the following statement correct: In the image, there is one daisy that is under the shadow of a taller daisy.", (a) Correct (b) Incorrect,(a),Positional and Relational Context
63,64,"Is the following statement correct: In the image, there is one daisy that is under the shadow of a taller daisy.", (a) Correct (b) Incorrect,(b),Positional and Relational Context
64,65,Is the following statement correct: There is no letter D on this image., (a) Correct (b) Incorrect,(a),Text
65,66,Is the following statement correct: There is no letter D on this image., (a) Correct (b) Incorrect,(b),Text
66,67,Are there any clouds?,(a) Yes (b) No,(a),Presence of Specific Features
67,68,Are there any clouds?,(a) Yes (b) No,(b),Presence of Specific Features
68,69,Did the snake stick out its tongue and touch its skin?,(a) Yes (b) No,(a),Structural and Physical Characteristics
69,70,Did the snake stick out its tongue and touch its skin?,(a) Yes (b) No,(b),Structural and Physical Characteristics
70,71,Is the lock locked or unlocked?,(a) Locked (b) Unlocked,(a),State and Condition
71,72,Is the lock locked or unlocked?,(a) Locked (b) Unlocked,(b),State and Condition
72,73,Is the ground wet?,(a) Yes (b) No,(a),State and Condition
73,74,Is the ground wet?,(a) Yes (b) No,(b),State and Condition
74,75,Do you see this flower from the top or the side?,(a) Top (b) Side,(a),Viewpoint and Perspective
75,76,Do you see this flower from the top or the side?,(a) Top (b) Side,(b),Viewpoint and Perspective
76,77,Can you see the caudal fin of the shark in the image?,(a) Yes (b) No,(a),Presence of Specific Features
77,78,Can you see the caudal fin of the shark in the image?,(a) Yes (b) No,(b),Presence of Specific Features
78,79,"In the image, is the snake's head oriented facing upwards or directed forwards?",(a) Upwards (b) Forward,(a),Orientation and Direction
79,80,"In the image, is the snake's head oriented facing upwards or directed forwards?",(a) Upwards (b) Forward,(b),Orientation and Direction
80,81,Is this a hammerhead shark?,(a) Yes (b) No,(a),Presence of Specific Features
81,82,Is this a hammerhead shark?,(a) Yes (b) No,(b),Presence of Specific Features
82,83,Is the door of the truck cab open?,(a) Yes (b) No,(a),State and Condition
83,84,Is the door of the truck cab open?,(a) Yes (b) No,(b),State and Condition
84,85,Are the ears of the dog erect or drooping?,(a) Erect (b) Drooping,(a),Presence of Specific Features
85,86,Are the ears of the dog erect or drooping?,(a) Erect (b) Drooping,(b),Presence of Specific Features
86,87,Is there a hand using the mouse in the image?,(a) Yes (b) No,(a),Presence of Specific Features
87,88,Is there a hand using the mouse in the image?,(a) Yes (b) No,(b),Presence of Specific Features
88,89,Can you see people in this image?,(a) Yes (b) No,(a),Presence of Specific Features
89,90,Can you see people in this image?,(a) Yes (b) No,(b),Presence of Specific Features
90,91,Are there any words displayed on the vehicle's lightbar?,(a) Yes (b) No,(a),Text
91,92,Are there any words displayed on the vehicle's lightbar?,(a) Yes (b) No,(b),Text
92,93,Is there any accessory on the wrists?,(a) Yes (b) No,(a),Presence of Specific Features
93,94,Is there any accessory on the wrists?,(a) Yes (b) No,(b),Presence of Specific Features
94,95,"From the camera's perspective, is the spider web very dense or relatively sparse?",(a) Very dense (b) Relatively sparse,(a),State and Condition
95,96,"From the camera's perspective, is the spider web very dense or relatively sparse?",(a) Very dense (b) Relatively sparse,(b),State and Condition
96,97,Does the keyboard have a backlight?,(a) Yes (b) No,(a),Presence of Specific Features
97,98,Does the keyboard have a backlight?,(a) Yes (b) No,(b),Presence of Specific Features
98,99,Does the elephant have long or short tusks?,(a) Long (b) Short,(a),Presence of Specific Features
99,100,Does the elephant have long or short tusks?,(a) Long (b) Short,(b),Presence of Specific Features
100,101,What is the woman more likely to do?,(a) Bump (b) Set,(a),Positional and Relational Context
101,102,What is the woman more likely to do?,(a) Bump (b) Set,(b),Positional and Relational Context
102,103,Is the needle pointing up or down?,(a) Up (b) Down,(a),Orientation and Direction
103,104,Is the needle pointing up or down?,(a) Up (b) Down,(b),Orientation and Direction
104,105,Is the camera positioned at eye level or looking down from above?,(a) Eye level (b) Above,(a),Viewpoint and Perspective
105,106,Is the camera positioned at eye level or looking down from above?,(a) Eye level (b) Above,(b),Viewpoint and Perspective
106,107,Are the butterfly's feet visible?,(a) Yes (b) No,(a),Presence of Specific Features
107,108,Are the butterfly's feet visible?,(a) Yes (b) No,(b),Presence of Specific Features
108,109,Are the bird's wings flapping upward or downward?,(a) Upward (b) Downward,(a),Orientation and Direction
109,110,Are the bird's wings flapping upward or downward?,(a) Upward (b) Downward,(b),Orientation and Direction
110,111,Is the end of the elephant's trunk pointing inward or outward?,(a) Inward (b) Outward,(a),Orientation and Direction
111,112,Is the end of the elephant's trunk pointing inward or outward?,(a) Inward (b) Outward,(b),Orientation and Direction
112,113,Do you see any window in this image?,(a) Yes (b) No,(a),Presence of Specific Features
113,114,Do you see any window in this image?,(a) Yes (b) No,(b),Presence of Specific Features
114,115,Is the snail in the picture facing the camera or away from the camera?,(a) Away from the camera (b) Facing the camera ,(a),Viewpoint and Perspective
115,116,Is the snail in the picture facing the camera or away from the camera?,(a) Away from the camera (b) Facing the camera ,(b),Viewpoint and Perspective
116,117,How many eyes of the cat can you see in the picture?,(a) 1 (b) 2,(a),Quantity and Count
117,118,How many eyes of the cat can you see in the picture?,(a) 1 (b) 2,(b),Quantity and Count
118,119,"In this image, how many eyes can you see on the animal?",(a) 1 (b) 2,(a),Quantity and Count
119,120,"In this image, how many eyes can you see on the animal?",(a) 1 (b) 2,(b),Quantity and Count
120,121,Does this corn have white kernels?,(a) Yes (b) No,(a),Color and Appearance
121,122,Does this corn have white kernels?,(a) Yes (b) No,(b),Color and Appearance
122,123,Is this duck facing left or right from the camera's perspective?,(a) Left (b) Right,(a),Viewpoint and Perspective
123,124,Is this duck facing left or right from the camera's perspective?,(a) Left (b) Right,(b),Viewpoint and Perspective
124,125,Can you see a door in this image?,(a) Yes (b) No,(a),Presence of Specific Features
125,126,Can you see a door in this image?,(a) Yes (b) No,(b),Presence of Specific Features
126,127,Is the flower's center protruding or indented?,(a) Protruding (b) Indented,(a),Structural and Physical Characteristics
127,128,Is the flower's center protruding or indented?,(a) Protruding (b) Indented,(b),Structural and Physical Characteristics
128,129,"From the camera's perspective, are the words ""SCHOOL BUS"" in the picture facing straight or oriented at an angle?",(a) Directly towards the camera (b) At an angle,(a),Viewpoint and Perspective
129,130,"From the camera's perspective, are the words ""SCHOOL BUS"" in the picture facing straight or oriented at an angle?",(a) Directly towards the camera (b) At an angle,(b),Viewpoint and Perspective
130,131,Where is the yellow animal's head lying in this image?,(a) Floor (b) Carpet,(a),Positional and Relational Context
131,132,Where is the yellow animal's head lying in this image?,(a) Floor (b) Carpet,(b),Positional and Relational Context
132,133,What does the center button say?,(a) OK/SELECT (b) OK,(a),Text
133,134,What does the center button say?,(a) OK/SELECT (b) OK,(b),Text
134,135,How many cup(s) of drink are there in the image?,(a) 1 (b) 2,(a),Quantity and Count
135,136,How many cup(s) of drink are there in the image?,(a) 1 (b) 2,(b),Quantity and Count
136,137,"In the picture, how is the snake primarily positioned?",(a) Coiled (b) Head extended,(a),Positional and Relational Context
137,138,"In the picture, how is the snake primarily positioned?",(a) Coiled (b) Head extended,(b),Positional and Relational Context
138,139,Can you see the side windows of the vehicles?,(a) Yes (b) No,(a),Presence of Specific Features
139,140,Can you see the side windows of the vehicles?,(a) Yes (b) No,(b),Presence of Specific Features
140,141,Is the elephant's trunk raised or lowered?,(a) Raised (b) Lowered,(a),State and Condition
141,142,Is the elephant's trunk raised or lowered?,(a) Raised (b) Lowered,(b),State and Condition
142,143,Is the ladybug positioned upright or upside down?,(a) Upright (b) Upside down,(a),State and Condition
143,144,Is the ladybug positioned upright or upside down?,(a) Upright (b) Upside down,(b),State and Condition
144,145,Is the photo taken looking down from above or looking up from below?,(a) Looking down from above (b) Looking up from below,(a),Viewpoint and Perspective
145,146,Is the photo taken looking down from above or looking up from below?,(a) Looking down from above (b) Looking up from below,(b),Viewpoint and Perspective
146,147,"In the picture, is the snake's head visible or not visible?",(a) Visible (b) Not visible,(a),Presence of Specific Features
147,148,"In the picture, is the snake's head visible or not visible?",(a) Visible (b) Not visible,(b),Presence of Specific Features
148,149,Is the piano's back panel on the left or right side?,(a) Left (b) Right,(a),Positional and Relational Context
149,150,Is the piano's back panel on the left or right side?,(a) Left (b) Right,(b),Positional and Relational Context
150,151,The image captures a woman running from:,(a) Back view (b) Side view,(a),Viewpoint and Perspective
151,152,The image captures a woman running from:,(a) Back view (b) Side view,(b),Viewpoint and Perspective
152,153,How many red apples are there in the image?,(a) One (b) More than one,(a),Quantity and Count
153,154,How many red apples are there in the image?,(a) One (b) More than one,(b),Quantity and Count
154,155,Is the vase beside the bedside table or on the windowsill?,(a) Beside the bedside Table (b) On the Windowsill,(a),Positional and Relational Context
155,156,Is the vase beside the bedside table or on the windowsill?,(a) Beside the bedside Table (b) On the Windowsill,(b),Positional and Relational Context
156,157,Is the frame at the front of the motorcycle primarily silver or black in color?,(a) Silver (b) Black,(a),Color and Appearance
157,158,Is the frame at the front of the motorcycle primarily silver or black in color?,(a) Silver (b) Black,(b),Color and Appearance
158,159,"For the people operating the machine in the image, can you see one arm or both arms?",(a) One arm (b) Both arms,(a),Quantity and Count
159,160,"For the people operating the machine in the image, can you see one arm or both arms?",(a) One arm (b) Both arms,(b),Quantity and Count
160,161,Is the minute hand of the clock closer to 12 or closer to 1?,(a) 12 (b) 1 ,(a),Positional and Relational Context
